Australia,5,"Fusian Special Edition Ow... Ow... Spicy Cow Mi Goreng"
Bangladesh,4,"Mr. Noodles Curry Flavor Instant Noodles"
Brazil,5,"Cup Noodles Sabor Franhp Com Requeijao"
Cambodia,5,"Instant Noodles chicken Green Curry Flavour"
Canada,5,"Chow Mein Japanese Style Noodles Yakisoba"
China,5,"Chongqing Noodles Burning Dry Noodles"
Colombia,3.75,"Sabor A Carne Sopa Instantánea Con Fideos"
Dubai,3.75,Vegetable
Estonia,3.75,"Instant Noodles With Chicken Flavour Broth"
Fiji,4.25,"Chow Tomato "
Finland,3.75,"Nuudeli Tom Yum Katkarapu"
Germany,5,"Soba Yakitori Chicken"
Ghana,3.5,"Instant Noodles Beef In Light Soup Flavour"
Holland,3.75,"Good Noodles Vegetable"
"Hong Kong",5.0,"Chinese Tan Tan Vermicelli"
Hungary,4.75,"Oriental Style Instant Noodles Shrimp Creamy Tom Yum Flavour"
India,5,"Atta Noodles Jhatpat Banao Befikr Khao"
Indonesia,5,"Mi Goreng Original Flavour Fried Noodles"
Japan,5.00,"Kimchi Chikin Ramen Donburi"
Malaysia,Unrated,"Plain Noodles"
Mexico,5,"Cup Noodles Gourmet Sabor A Caldo De Camaron"
Myanmar,5,"Instant Noodles Coconut Milk Flavour"
Nepal,5,"Preeti Instant Noodles Veg Soup Base"
Netherlands,4.5,"Instant Noodles Creamy Tom Yum Shrimp Flavour"
Nigeria,1.5,"Onion Chicken Flavor"
Pakistan,4,"Instant Noodles Masala"
Philippines,5,"Pancit Canton Sweet Spicy"
Poland,4,"Barszcz czerwony (Borscht)"
Sarawak,5,"Instant Kampua Dark Soy Sauce"
Singapore,5,"Creamy Soup With Crushed Noodles Hot & Sour Fish Flavor"
"South Korea",Unrated,"Plain Instant Noodle No Soup Included"
Sweden,3.5,"Instant Noodles Spicy Chili"
Taiwan,5.0,"Sichuan Spicy Flavor"
Thailand,5,"Creamy tom Yum Kung Flavour"
UK,5.00,"Hong Kong Street Beef"
USA,5.0,"Instant Lunch Chipotle Chicken Flavor Ramen Noodle Soup"
"United States",3.75,"Rice Fettucini Alfredo"
Vietnam,5,"Viet Cuisine Bun Rieu Cua Sour Crab Soup Instant Rice Vermicelli"
